awayTeam,awayScore,homeTeam,homeScore,homeWin
BOS,5,BUF,2,False
PIT,5,CBJ,3,False
CGY,2,MTL,1,False
VGK,0,WSH,3,True
ARI,3,DAL,4,True
ANA,3,NSH,2,False
TBL,0,STL,5,True
NJD,3,WPG,6,True
FLA,5,SJS,3,False
PHI,3,CAR,1,False
SEA,3,EDM,4,True
ANA,2,COL,8,True
NYI,3,VAN,4,True
DET,4,OTT,5,True
ARI,3,CBJ,2,False
VGK,6,MTL,5,False
NJD,5,PIT,2,False
TBL,4,CHI,2,False
VAN,2,CGY,5,True
NYI,3,SEA,4,True
FLA,1,LAK,2,True
STL,1,SJS,5,True
TOR,3,DET,2,False
BUF,2,WPG,3,True
FLA,2,ANA,1,False
MIN,1,OTT,2,True
VGK,3,PHI,4,True
CHI,2,NSH,4,True
EDM,4,TBL,6,True
MTL,2,BOS,5,True
PIT,2,CAR,4,True
NYI,5,CGY,4,False
NYR,5,NJD,3,False
ARI,2,WPG,5,True
CBJ,3,WSH,4,True
COL,6,DAL,3,False
SEA,4,VAN,3,False
STL,1,LAK,5,True
TOR,4,MIN,3,False
CBJ,2,PHI,5,True
VGK,0,PIT,3,True
BUF,3,CHI,2,False
STL,3,ANA,1,False
EDM,3,FLA,5,True
BOS,4,TBL,5,True
NYR,3,DAL,6,True
COL,3,NSH,4,True
LAK,4,ARI,1,False
CGY,4,SEA,3,False
SJS,1,VAN,3,True
EDM,3,CAR,6,True
CHI,3,CBJ,7,True
NJD,0,DET,4,True
BOS,3,FLA,1,False
NYR,1,PIT,0,False
WPG,3,TBL,2,False
BUF,3,WSH,4,True
PHI,2,NYI,3,True
STL,6,ARI,5,False
CGY,2,NSH,4,True
VGK,2,DAL,1,False
MTL,4,ANA,3,False
VAN,2,COL,5,True
SJS,1,SEA,7,True
DET,5,BOS,2,False
NYR,3,PHI,1,False
TOR,3,CHI,4,True
CBJ,2,NJD,1,False
NSH,8,STL,3,False
EDM,5,WSH,0,False
LAK,5,ANA,2,False
MTL,3,SJS,2,False
PIT,2,BUF,3,True
NYI,5,OTT,3,False
TBL,8,CAR,2,False
WPG,3,FLA,0,False
CGY,7,DAL,4,False
COL,3,MIN,2,False
VAN,5,SEA,1,False
BOS,4,NYR,7,True
MTL,0,LAK,4,True
BUF,2,NJD,7,True
TOR,2,PIT,3,True
PHI,1,NYI,0,False
CGY,1,COL,3,True
VAN,3,SJS,4,True
ARI,2,VGK,0,False
MIN,1,DET,4,True
STL,4,CHI,2,False
CBJ,2,CAR,3,True
WPG,2,NSH,3,True
ANA,2,EDM,8,True
BOS,2,CBJ,5,True
BUF,5,NYR,1,False
FLA,5,OTT,0,False
TBL,1,COL,4,True
VGK,1,CGY,2,True
WSH,1,SJS,2,True
NYI,4,NJD,5,True
FLA,1,TOR,2,True
CAR,4,PHI,1,False
STL,1,MIN,3,True
PIT,2,NSH,3,True
DAL,2,WPG,0,False
SEA,3,CHI,4,True
TBL,1,ARI,3,True
VGK,4,EDM,5,True
ANA,1,VAN,3,True
MTL,4,CBJ,2,False
DET,2,NYR,3,True
WSH,2,LAK,1,False
SJS,0,BOS,3,True
CHI,1,DET,5,True
FLA,5,MTL,1,False
NJD,4,PHI,3,False
PIT,4,TBL,2,False
SEA,3,TOR,4,True
NYI,5,CAR,4,False
MIN,6,NSH,1,False
BUF,4,STL,6,True
EDM,3,WPG,1,False
COL,3,ARI,4,True
DAL,3,CGY,4,True
WSH,5,ANA,4,False
VGK,4,VAN,1,False
OTT,2,CBJ,4,True
SJS,6,NJD,3,False
TBL,1,DAL,8,True
CHI,1,WPG,3,True
NYR,4,NSH,3,False
NYI,4,FLA,3,False
BUF,2,CAR,6,True
DET,5,MTL,4,False
SEA,0,OTT,2,True
PHI,4,PIT,3,False
BOS,4,TOR,3,False
STL,1,ARI,4,True
COL,3,ANA,4,True
VAN,4,CGY,3,False
WSH,1,VGK,4,True
CHI,1,MIN,4,True
SJS,5,NYR,6,True
CBJ,1,BOS,3,True
NSH,2,BUF,1,False
COL,1,LAK,4,True
PIT,1,PHI,2,True
DAL,0,TBL,4,True
SEA,2,MTL,4,True
CAR,1,WPG,2,True
WSH,0,ARI,6,True
STL,2,VGK,1,False
LAK,4,CBJ,3,False
NYR,2,OTT,6,True
DET,5,BUF,3,False
SJS,5,NYI,4,False
NSH,4,CHI,3,False
MIN,5,CGY,2,False
ANA,2,COL,3,True
NJD,6,VAN,5,False
DAL,4,FLA,5,True
PIT,1,TBL,3,True
VGK,6,STL,3,False
CAR,1,EDM,6,True
BUF,3,BOS,1,False
SJS,6,DET,5,False
LAK,4,MTL,0,False
TOR,4,OTT,3,False
CBJ,3,NYI,7,True
DAL,5,WSH,4,False
TBL,1,NSH,5,True
ANA,0,CHI,1,True
PHI,4,ARI,1,False
CAR,2,CGY,3,True
WPG,4,COL,2,False
MIN,0,VAN,2,True
NJD,2,SEA,1,False
STL,2,CBJ,5,True
PIT,1,FLA,3,True
MIN,3,EDM,4,True
ARI,3,BOS,5,True
NJD,4,CGY,2,False
VGK,6,DAL,1,False
MTL,3,BUF,2,False
OTT,5,DET,1,False
NSH,0,TOR,4,True
NYR,0,WSH,4,True
LAK,2,NYI,3,True
STL,1,CHI,3,True
PHI,5,COL,2,False
TBL,4,SEA,3,False
CAR,3,VAN,4,True
FLA,5,CBJ,2,False
NJD,1,EDM,4,True
WSH,4,CHI,2,False
NSH,2,MTL,1,False
LAK,1,NYR,4,True
WPG,4,ANA,2,False
MIN,3,SEA,0,False
SJS,4,VGK,5,True
ARI,2,BUF,5,True
TOR,3,NYI,4,True
DET,3,DAL,6,True
CGY,5,COL,6,True
TOR,7,NYR,3,False
CAR,4,OTT,1,False
ARI,2,PIT,4,True
DET,6,STL,4,False
PHI,2,NSH,3,True
CHI,1,EDM,4,True
FLA,0,SEA,4,True
TBL,1,VAN,4,True
CGY,4,VGK,5,True
WPG,1,SJS,2,True
PIT,4,MTL,3,False
BOS,1,NJD,2,True
ANA,3,NYI,4,True
BUF,1,COL,5,True
WPG,5,LAK,2,False
WSH,3,PHI,4,True
CBJ,6,TOR,5,False
CAR,2,DET,1,False
CGY,2,MIN,3,True
OTT,2,STL,4,True
TBL,7,EDM,4,False
CHI,1,SEA,7,True
FLA,0,VAN,4,True
ANA,1,NYR,5,True
NSH,6,CAR,5,False
BOS,5,NYI,4,False
OTT,4,DAL,5,True
SJS,0,ARI,1,True
BUF,5,VGK,2,False
VAN,1,MIN,2,True
NYR,2,BOS,1,False
NJD,6,CBJ,3,False
NYI,3,MTL,5,True
DET,0,PHI,1,True
PIT,0,TOR,7,True
COL,2,WPG,6,True
WSH,1,NSH,3,True
DAL,3,STL,4,True
BUF,0,ARI,2,True
TBL,2,CGY,4,True
FLA,5,EDM,1,False
LAK,3,SEA,2,False
VAN,4,CHI,3,False
WSH,2,CAR,1,False
ANA,5,NJD,1,False
SJS,2,COL,6,True
OTT,3,VGK,6,True
ANA,4,DET,3,False
MIN,3,PIT,4,True
MTL,3,WPG,2,False
SEA,3,DAL,4,True
FLA,1,CGY,3,True
MIN,4,BOS,3,False
CBJ,9,BUF,4,False
VGK,3,CAR,6,True
PHI,3,NJD,2,False
STL,1,TBL,6,True
NYR,5,TOR,2,False
EDM,1,NYI,3,True
VAN,5,NSH,2,False
COL,2,CHI,3,True
OTT,3,ARI,4,True
LAK,4,SJS,1,False
DET,2,WPG,5,True
NYI,2,WSH,3,True
SEA,2,LAK,1,False
TOR,3,BUF,9,True
WSH,3,CBJ,2,False
STL,4,FLA,1,False
NSH,4,PHI,2,False
CAR,1,PIT,2,True
VGK,4,TBL,5,True
EDM,6,NJD,3,False
VAN,3,DAL,4,True
MTL,3,MIN,4,True
OTT,4,COL,6,True
CGY,3,ANA,0,False
ARI,5,SJS,2,False
PHI,6,DET,7,True
EDM,4,NYR,3,False
BOS,1,WPG,5,True
MTL,5,CHI,2,False
DAL,3,NSH,2,False
VGK,2,FLA,4,True
TOR,4,CBJ,1,False
BOS,2,MIN,3,True
DET,2,NJD,3,True
PIT,4,OTT,5,True
TBL,2,WSH,1,False
NYI,5,CAR,4,False
BUF,3,NYR,4,True
SEA,3,ANA,2,False
CHI,5,STL,7,True
ARI,1,COL,4,True
CGY,3,LAK,5,True
SJS,4,VAN,7,True
CBJ,3,NJD,4,True
WSH,1,NYR,5,True
FLA,3,TBL,2,False
OTT,4,TOR,2,False
BOS,4,BUF,1,False
PIT,7,NYI,0,False
DET,3,MIN,6,True
CAR,5,NSH,2,False
DAL,1,STL,2,True
COL,4,ARI,5,True
WPG,1,CHI,2,True
SEA,2,CGY,1,False
VGK,2,ANA,5,True
SJS,1,LAK,5,True
MTL,3,CAR,5,True
PHI,4,VAN,1,False
LAK,2,VGK,3,True
EDM,5,SJS,0,False
TOR,5,CBJ,6,True
NSH,4,DET,5,True
NYR,3,FLA,4,True
NJD,6,OTT,2,False
WSH,1,NYI,5,True
CHI,4,DAL,5,True
COL,2,STL,1,False
ARI,2,ANA,0,False
PHI,1,SEA,2,True
MIN,2,WPG,4,True
CBJ,2,BUF,3,True
NJD,2,BOS,5,True
MTL,1,FLA,4,True
STL,2,PIT,4,True
NYR,5,TBL,1,False
CAR,3,TOR,2,False
NSH,3,WSH,2,False
EDM,3,LAK,2,False
WPG,3,MIN,2,False
BOS,5,DET,3,False
BUF,1,OTT,5,True
NYI,1,PIT,3,True
MTL,3,TBL,4,True
EDM,7,ANA,2,False
PHI,3,CGY,4,True
SJS,1,COL,3,True
CHI,1,DAL,8,True
VGK,0,SEA,3,True
BOS,4,CBJ,1,False
CAR,6,NYR,1,False
WSH,4,PIT,3,False
MTL,4,DAL,3,False
CGY,3,MIN,1,False
CHI,0,NSH,3,True
TBL,2,WPG,4,True
FLA,4,ARI,1,False
NYI,4,COL,5,True
PHI,2,EDM,5,True
OTT,3,VAN,6,True
TOR,3,LAK,0,False
DET,5,SJS,3,False
NJD,6,WSH,3,False
TOR,2,ANA,1,False
PIT,6,BOS,5,False
BUF,6,MTL,1,False
CHI,1,NYR,4,True
CBJ,3,PHI,2,False
COL,5,DAL,4,False
TBL,4,MIN,1,False
CGY,6,NSH,3,False
VAN,1,STL,2,True
NYI,5,ARI,1,False
OTT,1,SEA,4,True
FLA,4,VGK,1,False
DET,4,LAK,3,False
WPG,2,SJS,1,False
CHI,2,NJD,4,True
CAR,6,WSH,2,False
WPG,3,ANA,1,False
CGY,2,PHI,3,True
FLA,8,COL,4,False
TBL,3,BOS,7,True
MIN,4,CBJ,3,False
NYR,3,MTL,4,True
VAN,6,NJD,4,False
BUF,3,PIT,1,False
TOR,4,SJS,1,False
STL,2,CAR,1,False
NSH,4,DAL,3,False
OTT,1,EDM,3,True
NYI,2,VGK,5,True
CGY,3,CHI,4,True
LAK,3,WSH,4,True
WPG,6,ARI,2,False
DET,3,ANA,2,False
VAN,6,NYR,3,False
PIT,4,PHI,1,False
DAL,4,MIN,0,False
BOS,3,COL,4,True
SEA,5,BUF,2,False
LAK,2,TBL,3,True
SJS,1,TOR,7,True
VAN,5,NYI,2,False
ANA,5,NSH,3,False
FLA,5,STL,1,False
CBJ,0,WPG,5,True
EDM,2,CHI,1,False
BOS,3,ARI,4,True
OTT,3,CGY,6,True
MTL,2,PHI,3,True
MIN,2,DAL,7,True
VGK,0,COL,3,True
OTT,3,BUF,5,True
ANA,3,CAR,6,True
EDM,3,DET,2,False
LAK,2,FLA,3,True
SJS,3,MTL,2,False
VAN,4,PIT,3,False
NJD,3,TBL,4,True
SEA,4,WSH,1,False
TOR,3,NYI,4,True
NYR,2,STL,5,True
CHI,1,WPG,2,True
CGY,6,ARI,2,False
BOS,1,VGK,2,True
NSH,6,DAL,3,False
PHI,4,MIN,3,False
NYR,2,WSH,3,True
VAN,1,BUF,0,False
SJS,4,OTT,5,True
NJD,4,FLA,1,False
PIT,2,CAR,3,True
SEA,7,CBJ,4,False
LAK,3,DET,5,True
EDM,2,MTL,1,False
ANA,1,TBL,5,True
COL,5,TOR,3,False
PHI,2,WPG,0,False
DAL,3,CHI,1,False
ARI,6,MIN,0,False
NYI,1,NSH,3,True
BOS,4,STL,3,False
CGY,3,VGK,1,False
WSH,1,NYR,2,True
DET,4,TOR,2,False
SJS,0,BUF,3,True
NJD,0,BOS,3,True
VAN,3,CBJ,4,True
ANA,5,FLA,4,False
SEA,0,PIT,3,True
LAK,5,CAR,2,False
NYI,0,MIN,5,True
NSH,1,VGK,4,True
COL,3,MTL,4,True
PHI,4,STL,2,False
SEA,2,NYR,5,True
COL,7,OTT,4,False
ANA,0,WSH,2,True
LAK,1,DAL,5,True
NYI,2,WPG,4,True
SJS,1,CHI,2,True
ARI,2,CGY,3,True
TOR,2,EDM,4,True
DET,3,FLA,2,False
MTL,3,NJD,2,False
CHI,0,BUF,3,True
COL,2,BOS,5,True
MTL,2,OTT,6,True
DAL,1,PHI,5,True
MIN,3,TBL,7,True
STL,2,WSH,5,True
TOR,4,CGY,3,False
SEA,2,EDM,4,True
NSH,2,LAK,1,False
ARI,1,VAN,2,True
NYR,1,VGK,5,True
DET,2,CAR,4,True
NJD,4,CBJ,1,False
MIN,6,FLA,4,False
NYI,3,CHI,4,True
TBL,3,BUF,1,False
COL,7,PHI,4,False
NSH,2,ARI,3,True
WPG,2,OTT,1,False
MTL,4,BOS,9,True
DAL,6,NJD,2,False
TOR,4,VAN,6,True
WSH,0,STL,3,True
EDM,3,CGY,1,False
ANA,3,SJS,5,True
PIT,2,VGK,3,True
NYR,1,LAK,2,True
OTT,5,PHI,3,False
MIN,5,CAR,2,False
TBL,1,DET,2,True
DAL,2,NYI,3,True
NYR,5,ANA,2,False
TOR,3,SEA,1,False
WPG,1,BOS,4,True
VGK,5,NJD,6,True
FLA,4,NSH,1,False
PIT,2,ARI,5,True
CHI,0,VAN,2,True
SJS,4,LAK,3,False
DAL,5,DET,4,False
OTT,4,MTL,1,False
TBL,6,PHI,3,False
VGK,3,NYI,2,False
WSH,3,MIN,5,True
STL,4,CGY,3,False
CBJ,1,EDM,4,True
BUF,2,ANA,4,True
NYR,2,SJS,3,True
ARI,2,FLA,6,True
WPG,0,TOR,1,True
CAR,3,BOS,2,False
WSH,2,COL,6,True
CHI,2,SEA,6,True
STL,4,VAN,3,False
BUF,5,LAK,3,False
PHI,0,DET,3,True
NYI,3,MTL,4,True
BOS,3,OTT,2,False
ARI,3,TBL,6,True
NJD,2,CAR,3,True
ANA,3,DAL,4,True
NSH,3,MIN,2,False
CBJ,5,CGY,2,False
CHI,0,EDM,3,True
VGK,5,NYR,2,False
FLA,3,PIT,2,False
LAK,1,COL,5,True
STL,4,SEA,3,False
BOS,6,PHI,2,False
WSH,4,DAL,5,True
NSH,1,EDM,4,True
BUF,5,SJS,2,False
ARI,1,CAR,3,True
NYR,7,OTT,2,False
MTL,2,PIT,3,True
NJD,3,TBL,6,True
TOR,4,WPG,2,False
FLA,3,NYI,2,False
VGK,2,DET,5,True
ANA,3,MIN,2,False
CHI,0,CGY,1,True
CBJ,4,VAN,5,True
LAK,3,STL,4,True
CBJ,2,SEA,4,True
NSH,3,OTT,4,True
CBJ,1,STL,0,False
SEA,0,SJS,2,True
OTT,3,DET,2,False
LAK,4,NSH,2,False
SJS,2,ANA,3,True
COL,1,NYR,2,True
NYI,3,TOR,2,False
CGY,4,BOS,1,False
DAL,2,BUF,1,False
VAN,3,CAR,2,False
PHI,2,FLA,1,False
WPG,0,PIT,3,True
MTL,5,WSH,2,False
COL,3,NJD,5,True
EDM,1,VGK,3,True
TBL,1,NYR,3,True
DAL,4,TOR,5,True
MIN,2,CHI,1,False
VAN,0,BOS,4,True
WSH,2,FLA,4,True
CGY,5,NJD,3,False
WPG,1,PHI,4,True
COL,2,CAR,5,True
TBL,2,NYI,6,True
VGK,3,ARI,2,False
PIT,2,MIN,3,True
NYR,4,CHI,3,False
EDM,5,ANA,3,False
STL,3,BUF,1,False
VAN,3,DET,4,True
DAL,3,MTL,2,False
CGY,5,NYI,2,False
WSH,3,BOS,0,False
COL,0,FLA,4,True
NJD,0,CAR,1,True
TBL,4,CBJ,2,False
TOR,3,OTT,5,True
SEA,2,PHI,3,True
PIT,1,WPG,2,True
ARI,4,NSH,5,True
EDM,0,LAK,4,True
STL,7,MTL,2,False
VAN,3,WSH,2,False
SEA,1,NJD,3,True
CGY,0,NYR,2,True
ARI,3,PHI,5,True
MIN,5,VGK,3,False
TBL,3,BOS,2,False
LAK,0,BUF,7,True
ANA,0,MTL,5,True
CBJ,3,OTT,6,True
STL,1,TOR,4,True
COL,6,WSH,3,False
SEA,2,NYI,1,False
CAR,2,DAL,4,True
NJD,4,NSH,2,False
VAN,4,CHI,2,False
DET,4,EDM,8,True
FLA,5,PIT,2,False
SJS,0,WPG,1,True
MIN,3,ARI,1,False
SEA,4,BOS,1,False
FLA,4,BUF,0,False
LAK,2,NJD,1,False
MTL,4,NYR,7,True
ANA,5,OTT,1,False
COL,3,TBL,6,True
PHI,3,TOR,4,True
EDM,3,STL,6,True
DAL,9,NSH,2,False
PIT,4,CHI,1,False
SJS,6,CGY,3,False
DET,1,VAN,4,True
CAR,5,ARI,1,False
LAK,5,BOS,4,False
EDM,4,DAL,3,False
OTT,2,CHI,3,True
DET,5,CGY,0,False
BUF,3,MIN,2,False
NSH,5,STL,2,False
FLA,9,TBL,2,False
WSH,4,MTL,3,False
ANA,2,TOR,9,True
PHI,3,NJD,6,True
WPG,4,VAN,2,False
CBJ,4,SJS,3,False
CAR,3,VGK,1,False
NYR,6,NYI,5,False
ARI,3,COL,4,True
LAK,2,PIT,1,False
ANA,4,BUF,3,False
DAL,3,BOS,4,True
TOR,4,STL,2,False
VAN,7,MIN,10,True
DET,4,SEA,3,False
EDM,6,ARI,3,False
WPG,3,CGY,6,True
VGK,4,SJS,0,False
CHI,3,CAR,6,True
OTT,4,TBL,2,False
OTT,2,FLA,3,True
DAL,1,NYR,3,True
NYI,5,PIT,4,False
NJD,2,WSH,6,True
MIN,3,WPG,6,True
VAN,1,COL,3,True
NSH,5,VGK,3,False
CBJ,1,LAK,5,True
BUF,3,MTL,2,False
PHI,3,CHI,1,False
CBJ,7,ANA,4,False
TOR,6,ARI,3,False
BOS,6,EDM,5,False
FLA,0,CAR,1,True
COL,1,DET,2,True
NYR,5,NJD,1,False
DAL,1,OTT,4,True
MTL,1,PIT,4,True
WSH,5,TBL,3,False
NYI,0,STL,4,True
BOS,2,CGY,3,True
VAN,2,SEA,5,True
TOR,7,VGK,3,False
NSH,4,LAK,1,False
BUF,2,CBJ,1,False
WPG,3,CHI,2,False
MIN,4,EDM,2,False
STL,1,DET,6,True
MTL,3,NJD,4,True
TBL,4,NYI,2,False
NYR,2,PHI,1,False
WSH,2,FLA,3,True
TOR,4,COL,3,False
VGK,3,OTT,4,True
BOS,2,VAN,3,True
DAL,2,CAR,1,False
CGY,6,EDM,3,False
MIN,5,SEA,2,False
NSH,4,SJS,2,False
ANA,2,LAK,3,True
TBL,4,NJD,1,False
PHI,6,PIT,7,True
CAR,2,BUF,3,True
NYR,2,CBJ,4,True
DET,3,CHI,2,False
ARI,3,WPG,4,True
NSH,4,ANA,2,False
OTT,3,WSH,6,True
NYI,3,DAL,2,False
LAK,2,EDM,4,True
BOS,3,SEA,4,True
WSH,3,DET,8,True
BUF,2,FLA,3,True
ARI,2,MTL,4,True
TBL,2,PHI,6,True
VGK,6,TOR,2,False
CAR,3,MIN,2,False
OTT,1,NSH,4,True
STL,2,WPG,4,True
LAK,2,CGY,4,True
DAL,1,COL,5,True
PIT,4,VAN,3,False
