awayTeam,awayScore,homeTeam,homeScore,homeWin
CBJ,3,NYI,4,True
NYR,1,NSH,2,True
CAR,1,COL,4,True
CHI,3,ANA,2,False
STL,3,VGK,2,False
WPG,2,CGY,3,True
DET,3,LAK,4,True
DAL,5,PHI,1,False
SJS,3,MIN,2,False
VAN,2,BOS,5,True
ARI,1,NYR,4,True
WSH,3,TBL,6,True
WPG,3,SEA,2,False
NYI,4,OTT,2,False
CAR,3,CHI,0,False
LAK,5,CGY,6,True
STL,3,COL,2,False
DAL,4,TBL,5,True
NJD,5,MTL,1,False
TOR,5,PIT,2,False
VAN,5,BUF,4,False
WSH,2,FLA,5,True
PHI,4,CBJ,5,True
MIN,1,NSH,2,True
DET,2,ANA,3,True
SJS,5,VGK,2,False
BUF,1,OTT,4,True
STL,5,CHI,2,False
LAK,3,EDM,1,False
CGY,1,TBL,4,True
COL,3,CAR,2,False
DAL,6,FLA,4,False
MTL,4,CBJ,6,True
NJD,3,TOR,2,False
PHI,1,BOS,4,True
ANA,2,WPG,3,True
NYI,4,NSH,5,True
PIT,6,MIN,4,False
WSH,4,STL,5,True
ARI,1,VGK,4,True
NYR,2,SEA,3,True
DET,7,SJS,4,False
LAK,1,VAN,4,True
NJD,5,OTT,1,False
CGY,5,FLA,4,False
BUF,2,TOR,5,True
CHI,1,BOS,6,True
COL,4,WSH,0,False
DET,6,CBJ,1,False
PHI,4,MTL,5,True
PIT,3,WPG,0,False
ANA,2,STL,6,True
CAR,1,MIN,2,True
NYI,2,DAL,5,True
TBL,3,NSH,2,False
LAK,2,SEA,3,True
VGK,3,EDM,4,True
NYR,2,SJS,1,False
FLA,3,CBJ,5,True
PIT,5,CHI,3,False
BOS,5,TBL,3,False
CGY,5,PHI,2,False
EDM,2,NJD,5,True
CAR,3,WPG,4,True
NYI,3,TOR,2,False
ANA,1,STL,3,True
ARI,3,NSH,4,True
COL,3,DAL,2,False
OTT,1,SJS,5,True
VGK,5,VAN,4,False
BUF,7,MTL,2,False
NYR,5,LAK,3,False
ARI,4,CAR,0,False
BOS,2,FLA,5,True
CGY,1,PIT,2,True
MTL,3,CBJ,1,False
STL,2,BUF,6,True
TOR,2,NJD,1,False
WPG,1,MIN,6,True
NSH,0,DET,3,True
EDM,0,NYI,3,True
PHI,2,WSH,3,True
CHI,4,DAL,6,True
NYR,2,ANA,3,True
OTT,1,VGK,4,True
SJS,5,SEA,8,True
VAN,4,COL,3,False
CAR,2,BOS,3,True
CGY,0,WSH,3,True
MTL,3,CHI,2,False
TOR,4,MIN,3,False
OTT,5,ANA,1,False
PIT,4,PHI,1,False
ARI,3,DET,4,True
NYI,3,CBJ,2,False
NJD,3,BUF,1,False
STL,2,TBL,5,True
SEA,4,VGK,2,False
WPG,5,DAL,4,False
LAK,5,SJS,2,False
EDM,4,NYR,3,False
CGY,2,CAR,3,True
STL,5,FLA,4,False
TOR,4,PIT,1,False
WSH,1,NJD,5,True
PHI,2,NYI,5,True
DAL,1,COL,4,True
VAN,5,VGK,1,False
ARI,3,MIN,4,True
WPG,7,CHI,2,False
SEA,5,ANA,4,False
VAN,4,SJS,3,False
OTT,3,LAK,2,False
NJD,5,NYR,3,False
TBL,6,BUF,5,False
TOR,4,DET,2,False
VGK,3,CBJ,2,False
DAL,4,STL,1,False
FLA,3,EDM,4,True
CAR,3,PIT,2,False
SJS,4,MTL,0,False
TBL,1,BOS,3,True
NYI,1,PHI,3,True
ANA,1,NSH,2,True
COL,0,WPG,5,True
FLA,2,CGY,6,True
WSH,5,VAN,1,False
SEA,9,LAK,8,False
BUF,5,DET,4,False
NYR,3,OTT,1,False
SJS,1,TOR,3,True
EDM,5,CHI,4,False
COL,6,BUF,4,False
NSH,4,NJD,3,False
TBL,4,PHI,1,False
VGK,3,PIT,4,True
CAR,6,STL,4,False
EDM,3,MIN,5,True
ANA,0,DAL,5,True
MTL,2,CGY,1,False
FLA,5,VAN,1,False
WSH,2,SEA,3,True
ARI,3,LAK,5,True
OTT,3,NYR,2,False
NSH,4,NYI,1,False
CBJ,4,WPG,1,False
ANA,4,MIN,5,True
COL,1,BOS,5,True
MTL,3,EDM,5,True
NJD,3,PHI,2,False
SJS,2,OTT,5,True
STL,2,PIT,6,True
TOR,3,TBL,4,True
VGK,4,DET,1,False
CHI,5,NYR,2,False
ARI,2,VAN,3,True
FLA,5,SEA,1,False
WSH,2,CGY,5,True
CAR,4,LAK,2,False
ANA,2,WPG,5,True
MIN,6,DAL,5,False
DET,4,CBJ,2,False
SJS,3,BUF,6,True
CHI,0,NYI,3,True
COL,3,PHI,5,True
STL,4,NYR,6,True
VGK,4,BOS,3,False
WSH,3,EDM,2,False
ARI,2,CGY,3,True
MTL,6,VAN,7,True
CHI,0,NJD,3,True
CBJ,1,PIT,4,True
DET,4,TBL,2,False
LAK,5,OTT,2,False
STL,7,NYI,4,False
FLA,2,WPG,5,True
TOR,4,DAL,0,False
CAR,3,ANA,4,True
MTL,4,SEA,2,False
WSH,4,PHI,1,False
BUF,9,CBJ,4,False
MIN,3,CGY,5,True
BOS,4,COL,0,False
ARI,2,EDM,8,True
NYR,5,VGK,1,False
VAN,6,SJS,5,False
LAK,0,TOR,5,True
NSH,2,TBL,5,True
DET,1,FLA,5,True
WPG,5,STL,2,False
OTT,3,DAL,4,True
CGY,1,CBJ,3,True
NYI,6,NJD,4,False
PIT,4,BUF,3,False
SEA,1,WSH,4,True
WPG,3,CHI,1,False
MIN,2,EDM,5,True
NYR,2,COL,1,False
BOS,3,ARI,4,True
PHI,1,VGK,2,True
SJS,6,ANA,1,False
OTT,3,NSH,2,False
DET,2,DAL,3,True
FLA,1,TBL,4,True
BUF,1,PIT,3,True
